Issue_ID,Severity,Category,Package_File,Description,DO178C_Reference,Recommendation,Status
ISS-039,Major,SPARK,hale_orbital-kepler.ads:17,Spec SPARK_Mode On but body Off - prevents formal verification of solvers,6.5.2 Formal Methods,Either enable body SPARK_Mode or document exemption rationale,Open
ISS-040,Major,SPARK,hale_orbital-twobody.ads:16,Same SPARK spec/body mismatch - formal verification blocked,6.5.2 Formal Methods,Document formal methods scope and exemptions,Open
ISS-041,Major,SPARK,hale_orbital-elements.ads:14,Same SPARK spec/body mismatch pattern,6.5.2 Formal Methods,Document formal methods scope and exemptions,Open
ISS-042,Major,SPARK,hale_orbital-lambert.ads:17,Same SPARK spec/body mismatch - solver verification blocked,6.5.2 Formal Methods,Document formal methods scope and exemptions,Open
ISS-043,Major,Testing,ada/tests/hale_tests-vallado.adb:27,Hardcoded Mu_Vallado=398600.4418 without source reference,A-5.4.2 Traceability,Add comment with Vallado edition page number,Open
ISS-044,Major,Testing,ada/tests/hale_tests-integration.adb:44-122,Lambert+Propagation test lacks energy conservation verification,A-6.3.5 Postconditions,Add Conserved_Energy verification to test assertions,Open
ISS-045,Major,Testing,ada/tests/hale_tests-edge_cases.adb,Missing boundary tests at e=0.9999999 and invalid e=1.0,A-6.3.1 Boundary Conditions,Add systematic boundary testing at precondition limits,Open
ISS-046,Major,Testing,ada/tests/hale_tests-parallel.adb:19-21,Tolerances hardcoded without documented rationale,A-5.4.2 Traceability,Document tolerance derivation from numerical analysis,Open
ISS-047,Major,Testing,ada/tests/hale_tests-determinism.adb:30-42,Reference values hardcoded without source documentation,A-5.4.2 Traceability,Add comments explaining measurement procedure and source,Open
ISS-048,Major,Testing,ada/tests/hale_tests-periodic_orbits.adb:140,Symplectic tolerance 0.01 too loose for fundamental property,A-6.3.3 Tolerance Justification,Tighten tolerance to machine epsilon level,Open
ISS-049,Major,Testing,ada/tests/,Test files have no comments mapping tests to RTM requirement IDs,A-5.4.3 Test-to-Req Traceability,Add requirement ID references in test procedure comments,Open
ISS-050,Major,Testing,ada/tests/hale_tests-integration.adb:468-475,Energy conservation tolerance 1e-10 unrealistic for multi-hour propagation,A-6.3.3 Tolerance Justification,Calculate expected error accumulation and adjust tolerance,Open
ISS-051,Major,Documentation,docs/api-reference.md,Error handling guidance incomplete - exception conditions not fully documented,11.12.1 Specifications,Document all exception raising conditions,Open
ISS-052,Major,Documentation,docs/api-reference.md,Performance requirements missing for propagation functions,11.12.1 Specifications,Add timing requirements and WCET bounds,Open
ISS-053,Major,Documentation,docs/api-reference.md,Numerical accuracy not tied to use cases - no regime-specific guidance,11.12.1 Specifications,Add accuracy requirements by orbital regime,Open
ISS-054,Major,Documentation,docs/rationale/,No DEC document for error handling strategy,11.12.1 Design Standards,Create DEC-006 Error Handling Strategy,Open
ISS-055,Major,Documentation,docs/rationale/,Algorithm selection rationale incomplete - why Newton-Raphson vs alternatives,11.12.1 Design Rationale,Expand DEC-004 or create new DEC for algorithms,Open
ISS-056,Major,Documentation,docs/rationale/,No DEC for test strategy rationale,11.12.1 Verification Strategy,Create DEC for test methodology decisions,Open
ISS-057,Major,Traceability,docs/certification/rtm.md,Third-party dependencies not traced - Ada.Numerics GNAT version,11.6.1 Dependencies,Add dependency requirements section to RTM,Open
ISS-058,Major,CM,Missing,Build configuration not formally documented - modes exist but no CM link,11.4.3 Build Management,Document build configurations in SCMP,Open
ISS-059,Major,CM,Missing,No formal version control strategy documented,11.4.1 CM Procedures,Document branching merging release procedures,Open
ISS-060,Major,CM,Missing,No release management procedure documented,11.4.1 Baseline Management,Create release procedure checklist and artifacts,Open
ISS-061,Major,Documentation,docs/api-reference.md,SRS incomplete - contracts used but no formal requirements document,11.6.1 SRS Required,Create formal SRS from contracts with attributes,Open
ISS-062,Minor,Magic Numbers,hale_orbital-lambert.adb,Z bounds -4*Pi^2 to 4*Pi^2 hardcoded without named constants,6.5.1 Requirements Clarity,Create named constants with justification comments,Resolved (Z_Bound_Hyperbolic/Z_Bound_Elliptic in types.ads:145-146)
ISS-063,Minor,Magic Numbers,hale_orbital-lambert.adb,Magic value 1.0e10 for invalid function without named constant,6.5.1 Requirements Clarity,Create INVALID_FUNCTION_VALUE constant,Obsolete 2026-07-13 (Lambert_F and its sentinel removed with the restored standard formulation)
ISS-064,Minor,Magic Numbers,hale_orbital-lambert.ads:98,Hardcoded 2.0*3.14159... instead of Two_Pi constant,6.5.1 Requirements Clarity,Use Two_Pi from Constants package,Open
ISS-065,Minor,Magic Numbers,hale_orbital-elements.adb:20,Safe_Atan2 threshold 1.0e-15 undocumented,6.5.1 Requirements Clarity,Add comment explaining threshold selection,Open
ISS-066,Minor,Testing,ada/tests/hale_tests-integration.adb:226,Position tolerance 0.01 without documented basis,A-6.3.2 Test Data,Document tolerance derivation,Open
ISS-067,Minor,Testing,ada/tests/hale_tests-edge_cases.adb:277,TOF 1800.0 seconds chosen without stated basis,A-6.3.2 Test Data,Add comment explaining test data selection,Open
ISS-068,Minor,Testing,ada/tests/hale_tests-runner.ads:22,Default tolerance 1.0e-10 context-independent,A-5.4.2 Traceability,Document tolerance applicability and alternatives,Open
ISS-069,Minor,Documentation,docs/api-reference.md,Deterministic mode impact not documented in API reference,11.12.1 Specifications,Add build mode comparison section,Open
ISS-070,Minor,Documentation,docs/,SDS not unified - architecture and rationale docs scattered,11.7.1 SDS Required,Consider unified design standards document,Open
ISS-071,Minor,Documentation,docs/,SCS not formal - Ada style enforced by flags but no document,11.8.1 SCS Required,Create formal code standards document,Open
