"ID","Package","File","Line","Decision Type","Condition","True Path Test","False Path Test","Status","Notes"
"DEC-LAM-009","Hale_Orbital.Lambert","hale_orbital-lambert.adb",176,"if","Y < 0.0","Invalid Y parameter","Valid Y parameter","Pending","Y parameter check"
"DEC-LAM-010","Hale_Orbital.Lambert","hale_orbital-lambert.adb",178,"if","Z > 0.0","Positive Z","Negative Z","Pending","Z adjustment direction"
"DEC-LAM-011","Hale_Orbital.Lambert","hale_orbital-lambert.adb",196,"if","abs(F_Z) < Tolerance","Converged","Not converged","Pending","Convergence check"
"DEC-LAM-012","Hale_Orbital.Lambert","hale_orbital-lambert.adb",201,"if","F_Z < 0.0","TOF too short","TOF too long","Pending","Bisection direction"
"DEC-LAM-013","Hale_Orbital.Lambert","hale_orbital-lambert.adb",212,"if","Iter >= Max_Iter","Max iterations hit","Normal exit","Pending","Iteration limit"
"DEC-LAM-014","Hale_Orbital.Lambert","hale_orbital-lambert.adb",282,"if","Long_Way","Long_Way = True","Long_Way = False","Pending","Multi-rev direction"
"DEC-LAM-015","Hale_Orbital.Lambert","hale_orbital-lambert.adb",289,"if","Long_Way","Long_Way = True","Long_Way = False","Pending","Multi-rev angle"
"DEC-LAM-016","Hale_Orbital.Lambert","hale_orbital-lambert.adb",312,"if","Y < 0.0","Invalid Y","Valid Y","Pending","Bounded Y check"
"DEC-LAM-017","Hale_Orbital.Lambert","hale_orbital-lambert.adb",313,"if","Z > 0.0","Positive Z","Negative Z","Pending","Bounded Z adjustment"
"DEC-LAM-018","Hale_Orbital.Lambert","hale_orbital-lambert.adb",329,"if","abs(F_Z) < Tolerance","Converged","Not converged","Pending","Bounded convergence"
"DEC-LAM-019","Hale_Orbital.Lambert","hale_orbital-lambert.adb",333,"if","F_Z < 0.0","TOF too short","TOF too long","Pending","Bounded bisection"
"DEC-LAM-020","Hale_Orbital.Lambert","hale_orbital-lambert.adb",343,"if","Iter >= Max_Iter","Max iterations hit","Normal exit","Pending","Bounded iteration limit"
"DEC-LAM-021","Hale_Orbital.Lambert","hale_orbital-lambert.adb",392,"if","Is_Degenerate_Transfer(R1, R2)","180-degree transfer","Normal transfer","Pending","Degenerate detection"
"DEC-LAM-022","Hale_Orbital.Lambert","hale_orbital-lambert.adb",413,"if","Zero_Rev.Converged","Solution found","No solution","Pending","Zero-rev convergence"
"DEC-LAM-023","Hale_Orbital.Lambert","hale_orbital-lambert.adb",425,"if","Real(Tof) > Real(Min_Tof)","TOF sufficient","TOF insufficient","Pending","Multi-rev TOF check"
"DEC-LAM-024","Hale_Orbital.Lambert","hale_orbital-lambert.adb",443,"if","Short_Period.Converged","Short period found","No short period","Pending","Short period convergence"
"DEC-LAM-025","Hale_Orbital.Lambert","hale_orbital-lambert.adb",453,"if","Long_Period.Converged","Long period found","No long period","Pending","Long period convergence"
"DEC-LAM-026","Hale_Orbital.Lambert","hale_orbital-lambert.adb",485,"if","Cos_Angle > 1.0","Clamp high","Normal","Pending","Transfer angle clamp"
"DEC-LAM-027","Hale_Orbital.Lambert","hale_orbital-lambert.adb",487,"elsif","Cos_Angle < -1.0","Clamp low","Normal","Pending","Transfer angle clamp"
"DEC-LAM-028","Hale_Orbital.Lambert","hale_orbital-lambert.adb",493,"if","Long_Way","Long_Way = True","Long_Way = False","Pending","Transfer angle adjust"
"DEC-LAM-029","Hale_Orbital.Lambert","hale_orbital-lambert.adb",512,"if","Cos_Dnu > 1.0","Clamp high","Normal","Pending","Min energy clamp"
"DEC-LAM-030","Hale_Orbital.Lambert","hale_orbital-lambert.adb",514,"elsif","Cos_Dnu < -1.0","Clamp low","Normal","Pending","Min energy clamp"
"DEC-LAM-031","Hale_Orbital.Lambert","hale_orbital-lambert.adb",601,"if","N_Revs = 0","Zero revolutions","N revolutions","Pending","Min TOF dispatch"
"DEC-LAM-032","Hale_Orbital.Lambert","hale_orbital-lambert.adb",631,"if","Cross_Mag < Threshold","Near collinear","Normal geometry","Pending","Degenerate detection"
"DEC-LAM-033","Hale_Orbital.Lambert","hale_orbital-lambert.adb",637,"if","Dot_Prod < 0.0","180-degree transfer","0-degree case","Pending","Degenerate direction"
"DEC-LAM-034","Hale_Orbital.Lambert","hale_orbital-lambert.adb",653,"if","Is_Degenerate_Transfer","Degenerate case","Normal case","Pending","Count degenerate check"
"DEC-LAM-035","Hale_Orbital.Lambert","hale_orbital-lambert.adb",658,"if","Solution_Exists","Zero-rev exists","No zero-rev","Pending","Zero-rev count"
"DEC-LAM-036","Hale_Orbital.Lambert","hale_orbital-lambert.adb",667,"if","T > Real(Min_Tof)","Multi-rev possible","Multi-rev not possible","Pending","Multi-rev count"
"DEC-ELE-001","Hale_Orbital.Elements","hale_orbital-elements.adb",20,"if-else","abs(X) < 1.0e-15 and abs(Y) < 1.0e-15","Both near zero","At least one non-zero","Pending","Safe atan2"
"DEC-ELE-002","Hale_Orbital.Elements","hale_orbital-elements.adb",34,"while","Result < 0.0","Result negative","Result non-negative","Pending","Angle normalization (low)"
"DEC-ELE-003","Hale_Orbital.Elements","hale_orbital-elements.adb",37,"while","Result >= Two_Pi","Result >= 2pi","Result < 2pi","Pending","Angle normalization (high)"
"DEC-ELE-004","Hale_Orbital.Elements","hale_orbital-elements.adb",46,"while","Result < -Pi","Result < -pi","Result >= -pi","Pending","Symmetric norm (low)"
"DEC-ELE-005","Hale_Orbital.Elements","hale_orbital-elements.adb",49,"while","Result >= Pi","Result >= pi","Result < pi","Pending","Symmetric norm (high)"
"DEC-ELE-006","Hale_Orbital.Elements","hale_orbital-elements.adb",91,"if","R_Mag < 1.0e-10","Zero position","Valid position","Pending","Position validation"
"DEC-ELE-007","Hale_Orbital.Elements","hale_orbital-elements.adb",94,"if","H_Mag < 1.0e-10","Zero angular momentum","Valid angular momentum","Pending","Radial orbit check"
"DEC-ELE-008","Hale_Orbital.Elements","hale_orbital-elements.adb",101,"if-else","abs(Energy) < 1.0e-15","Parabolic","Elliptic/Hyperbolic","Pending","Orbit type by energy"
"DEC-ELE-009","Hale_Orbital.Elements","hale_orbital-elements.adb",116,"if","Cos_I > 1.0","Clamp high","Normal","Pending","Inclination clamp"
"DEC-ELE-010","Hale_Orbital.Elements","hale_orbital-elements.adb",118,"elsif","Cos_I < -1.0","Clamp low","Normal","Pending","Inclination clamp"
"DEC-ELE-011","Hale_Orbital.Elements","hale_orbital-elements.adb",125,"if-else","N_Mag < 1.0e-10","Equatorial orbit","Inclined orbit","Pending","RAAN singularity"
"DEC-ELE-012","Hale_Orbital.Elements","hale_orbital-elements.adb",135,"if","E_Mag < Circular_Threshold","Circular orbit","Non-circular","Pending","Omega singularity"
"DEC-ELE-013","Hale_Orbital.Elements","hale_orbital-elements.adb",138,"elsif","N_Mag < 1.0e-10","Equatorial non-circular","General case","Pending","Equatorial eccentricity"
"DEC-ELE-014","Hale_Orbital.Elements","hale_orbital-elements.adb",141,"if","H_Vec(3) < 0.0","Retrograde equatorial","Prograde equatorial","Pending","Retrograde adjustment"
"DEC-ELE-015","Hale_Orbital.Elements","hale_orbital-elements.adb",151,"if","Cos_Omega > 1.0","Clamp high","Normal","Pending","Omega clamp"
"DEC-ELE-016","Hale_Orbital.Elements","hale_orbital-elements.adb",153,"elsif","Cos_Omega < -1.0","Clamp low","Normal","Pending","Omega clamp"
"DEC-ELE-017","Hale_Orbital.Elements","hale_orbital-elements.adb",158,"if","E_Vec(3) < 0.0","e_z negative quadrant","e_z positive quadrant","Pending","Omega quadrant"
"DEC-ELE-018","Hale_Orbital.Elements","hale_orbital-elements.adb",167,"if-elsif","E_Mag < Circular_Threshold","Circular orbit","Non-circular","Pending","True anomaly circular"
"DEC-ELE-019","Hale_Orbital.Elements","hale_orbital-elements.adb",169,"if-else","N_Mag < 1.0e-10","Circular equatorial","Circular inclined","Pending","True longitude"
"DEC-ELE-020","Hale_Orbital.Elements","hale_orbital-elements.adb",177,"if","Cos_U > 1.0","Clamp high","Normal","Pending","Arg latitude clamp"
"DEC-ELE-021","Hale_Orbital.Elements","hale_orbital-elements.adb",179,"elsif","Cos_U < -1.0","Clamp low","Normal","Pending","Arg latitude clamp"
"DEC-ELE-022","Hale_Orbital.Elements","hale_orbital-elements.adb",183,"if","R(3) < 0.0","Below equator","Above equator","Pending","Arg latitude quadrant"
"DEC-ELE-023","Hale_Orbital.Elements","hale_orbital-elements.adb",191,"if","Cos_Nu > 1.0","Clamp high","Normal","Pending","True anomaly clamp"
"DEC-ELE-024","Hale_Orbital.Elements","hale_orbital-elements.adb",193,"elsif","Cos_Nu < -1.0","Clamp low","Normal","Pending","True anomaly clamp"
"DEC-ELE-025","Hale_Orbital.Elements","hale_orbital-elements.adb",198,"if","R_Dot_V < 0.0","Past apoapsis","Before apoapsis","Pending","True anomaly quadrant"
"DEC-ELE-026","Hale_Orbital.Elements","hale_orbital-elements.adb",249,"if","E < 0.0","Negative eccentricity","Valid eccentricity","Pending","E validation"
"DEC-ELE-027","Hale_Orbital.Elements","hale_orbital-elements.adb",254,"if-else","E < 1.0","Elliptic","Hyperbolic","Pending","Orbit type for P"
"DEC-ELE-028","Hale_Orbital.Elements","hale_orbital-elements.adb",261,"if","P <= 0.0","Invalid P","Valid P","Pending","P validation"
"DEC-ELE-029","Hale_Orbital.Elements","hale_orbital-elements.adb",270,"if","R_Mag <= 0.0","Invalid radius","Valid radius","Pending","Radius validation"
"DEC-ELE-030","Hale_Orbital.Elements","hale_orbital-elements.adb",335,"if","E > 1.0 - Parabolic_Threshold","Near parabolic","Elliptic","Pending","True to eccentric validation"
"DEC-ELE-031","Hale_Orbital.Elements","hale_orbital-elements.adb",352,"if","E > 1.0 - Parabolic_Threshold","Near parabolic","Elliptic","Pending","Eccentric to true validation"
"DEC-ELE-032","Hale_Orbital.Elements","hale_orbital-elements.adb",387,"if","E > 1.0 - Parabolic_Threshold","Near parabolic","Elliptic","Pending","Mean to eccentric validation"
"DEC-ELE-033","Hale_Orbital.Elements","hale_orbital-elements.adb",392,"if","E > High_Eccentricity_Threshold","High eccentricity","Low eccentricity","Pending","Initial guess selection"
"DEC-ELE-034","Hale_Orbital.Elements","hale_orbital-elements.adb",400,"if","abs(F_Prime) < 1.0e-15","Derivative too small","Normal derivative","Pending","Kepler derivative check"
"DEC-ELE-035","Hale_Orbital.Elements","hale_orbital-elements.adb",407,"exit when","abs(F) < Tolerance","Converged","Not converged","Pending","Kepler convergence"
"DEC-ELE-036","Hale_Orbital.Elements","hale_orbital-elements.adb",408,"exit when","Iter > Default_Max_Iterations","Max iterations","Normal iterations","Pending","Kepler iteration limit"
"DEC-ELE-037","Hale_Orbital.Elements","hale_orbital-elements.adb",411,"if","Iter > Default_Max_Iterations","Non-convergence","Converged","Pending","Kepler convergence error"
"DEC-ELE-038","Hale_Orbital.Elements","hale_orbital-elements.adb",437,"if","E <= 1.0","Elliptic","Hyperbolic","Pending","Hyperbolic anomaly validation"
"DEC-ELE-039","Hale_Orbital.Elements","hale_orbital-elements.adb",446,"if","abs(Tanh_H2) >= 1.0","Invalid hyperbola","Valid hyperbola","Pending","Hyperbolic range check"
"DEC-ELE-040","Hale_Orbital.Elements","hale_orbital-elements.adb",460,"if","E <= 1.0","Elliptic","Hyperbolic","Pending","Hyperbolic to true validation"
"DEC-ELE-041","Hale_Orbital.Elements","hale_orbital-elements.adb",486,"if","E < 0.0","Negative eccentricity","Valid eccentricity","Pending","Is_Valid e check"
"DEC-ELE-042","Hale_Orbital.Elements","hale_orbital-elements.adb",491,"if-elsif","E < 1.0","Elliptic SMA check","Hyperbolic SMA check","Pending","Is_Valid SMA check"
"DEC-ELE-043","Hale_Orbital.Elements","hale_orbital-elements.adb",492,"if","Real(SMA) <= 0.0","Invalid elliptic SMA","Valid elliptic SMA","Pending","Elliptic SMA validation"
"DEC-ELE-044","Hale_Orbital.Elements","hale_orbital-elements.adb",496,"if","Real(SMA) >= 0.0","Invalid hyperbolic SMA","Valid hyperbolic SMA","Pending","Hyperbolic SMA validation"
"DEC-ELE-045","Hale_Orbital.Elements","hale_orbital-elements.adb",502,"if-or","i < 0.0 or i > Pi","Invalid inclination","Valid inclination","Pending","Inclination range check"
"DEC-PRO-001","Hale_Orbital.Propagation","hale_orbital-propagation.adb",29,"if","R_Mag < 1.0e-10","Zero position","Valid position","Pending","Two-body position check"
"DEC-PRO-002","Hale_Orbital.Propagation","hale_orbital-propagation.adb",70,"if","R_Mag < 1.0e-10","Zero position","Valid position","Pending","J2 position check"
"DEC-PRO-003","Hale_Orbital.Propagation","hale_orbital-propagation.adb",155,"if","T_End >= T_Start","Forward propagation","Backward propagation","Pending","Propagation direction"
"DEC-PRO-004","Hale_Orbital.Propagation","hale_orbital-propagation.adb",162,"while-and-or","Direction > 0 and T < T_End","Forward loop","Backward loop","Pending","Main propagation loop"
"DEC-PRO-005","Hale_Orbital.Propagation","hale_orbital-propagation.adb",166,"if","|T_End - T| < |H|","Final step","Normal step","Pending","Step adjustment"
"DEC-PRO-006","Hale_Orbital.Propagation","hale_orbital-propagation.adb",196,"if","Steps >= Max_Steps","Max steps exceeded","Normal steps","Pending","Config max steps"
"DEC-PRO-007","Hale_Orbital.Propagation","hale_orbital-propagation.adb",204,"if","|T_End - T| < |H|","Final step","Normal step","Pending","Config step adjust"
"DEC-PRO-008","Hale_Orbital.Propagation","hale_orbital-propagation.adb",316,"if-and","Error > Tol and |H| > Min_Step","Reject step","Accept step","Pending","RK78 step rejection"
"DEC-PRO-009","Hale_Orbital.Propagation","hale_orbital-propagation.adb",321,"if","|H| < Min_Step","Enforce min step","Normal step","Pending","RK78 min step enforce"
"DEC-PRO-010","Hale_Orbital.Propagation","hale_orbital-propagation.adb",331,"if","Error_Est > 0.0","Scale adjustment","No adjustment","Pending","RK78 scale check"
"DEC-PRO-011","Hale_Orbital.Propagation","hale_orbital-propagation.adb",338,"if","|H| > Max_Step","Enforce max step","Normal step","Pending","RK78 max step enforce"
"DEC-PRO-012","Hale_Orbital.Propagation","hale_orbital-propagation.adb",341,"if","|H| < Min_Step","Enforce min step","Normal step","Pending","RK78 min step enforce (2)"
"DEC-PRO-013","Hale_Orbital.Propagation","hale_orbital-propagation.adb",382,"if","Steps >= Max_Steps","Max steps exceeded","Normal steps","Pending","RK78 max steps"
"DEC-PRO-014","Hale_Orbital.Propagation","hale_orbital-propagation.adb",391,"if","|T_End - T| < |H|","Final step","Normal step","Pending","RK78 step adjust"
"DEC-PRO-015","Hale_Orbital.Propagation","hale_orbital-propagation.adb",398,"if","not Rejected","Step accepted","Step rejected","Pending","RK78 rejection handling"
"DEC-PRO-016","Hale_Orbital.Propagation","hale_orbital-propagation.adb",485,"if-else","|E_Initial| < 1.0e-20","Near-zero energy","Normal energy","Pending","Energy error calculation"
"DEC-PRO-017","Hale_Orbital.Propagation","hale_orbital-propagation.adb",567,"if-else","N > 1.0","Multi-sample std dev","Single sample","Pending","Statistics calculation"
"DEC-THR-001","Hale_Orbital.Threebody","hale_orbital-threebody.adb",53,"case","Point","L1, L2, L3, L4, L5","N/A","Pending","Lagrange point dispatch"
"DEC-THR-002","Hale_Orbital.Threebody","hale_orbital-threebody.adb",79,"if","abs(FP) < 1.0e-15","Derivative too small","Normal derivative","Pending","L1 derivative check"
"DEC-THR-003","Hale_Orbital.Threebody","hale_orbital-threebody.adb",84,"if","abs(Delta) < Tolerance","Converged","Not converged","Pending","L1 convergence"
"DEC-THR-004","Hale_Orbital.Threebody","hale_orbital-threebody.adb",111,"if","abs(FP) < 1.0e-15","Derivative too small","Normal derivative","Pending","L2 derivative check"
"DEC-THR-005","Hale_Orbital.Threebody","hale_orbital-threebody.adb",116,"if","abs(Delta) < Tolerance","Converged","Not converged","Pending","L2 convergence"
"DEC-THR-006","Hale_Orbital.Threebody","hale_orbital-threebody.adb",144,"if","abs(FP) < 1.0e-15","Derivative too small","Normal derivative","Pending","L3 derivative check"
"DEC-THR-007","Hale_Orbital.Threebody","hale_orbital-threebody.adb",149,"if","abs(Delta) < Tolerance","Converged","Not converged","Pending","L3 convergence"
